期間,株式コード,上場コード,銘柄名称,終値
2023/04,1301,011,極洋,3575
2023/04,1305,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算,2198
2023/04,1306,011,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上,2174.5
2023/04,1307,,ＩシェアーズＴＯＰＩＸ,
2023/04,1308,011,上場インデックスファンドＴＯＰＩＸ,2148
2023/04,1309,011,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中,40100
2023/04,1310,,ダイワ上場投信－トピックス・コア３０,
2023/04,1311,011,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒ,1010
2023/04,1312,,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コ,
2023/04,1314,,上場インデックスファンドＳ＆Ｐ日本新興株,
2023/04,1315,,ＩシェアーズＳ＆Ｐ／ＴＯＰＩＸ１５０,
2023/04,1316,,上場インデックスファンドＴＯＰＩＸ１００,
2023/04,1317,,上場インデックスファンドＴＯＰＩＸ　Ｍｉ,
2023/04,1318,,上場インデックスファンドＴＯＰＩＸ　Ｓｍ,
2023/04,1319,012,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数,350
2023/04,1320,011,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算,30050
2023/04,1321,011,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上,30140
2023/04,1322,011,上場インデックスファンド中国Ａ株（パンダ,7855
2023/04,1323,,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ,
2023/04,1324,011,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動,
2023/04,1325,011,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・,197
2023/04,1328,011,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投,6654
2023/04,1329,011,ｉシェアーズ・コア　日経２２５　ＥＴＦ,30050
2023/04,1330,011,上場インデックスファンド２２５,30180
2023/04,1331,,マルハニチロ食品,
2023/04,1332,011,ニッスイ,594
2023/04,1333,011,マルハニチロ,2530
2023/04,1334,,マルハニチロホールディングス,
2023/04,1343,011,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連,2023
2023/04,1344,,ＭＡＸＩＳ　トピックス・コア３０上場投信,
2023/04,1345,011,上場インデックスファンドＪリート（東証Ｒ,1897
2023/04,1346,011,ＭＡＸＩＳ　日経２２５上場投信,29980
2023/04,1347,,上場インデックスファンドＦＴＳＥ日本グリ,
2023/04,1348,011,ＭＡＸＩＳ　トピックス上場投信,2149
2023/04,1351,,宝幸,
2023/04,1352,,ホウスイ,
2023/04,1356,011,ＴＯＰＩＸベア２倍上場投信,772.9
2023/04,1357,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・イ,306
2023/04,1358,011,上場インデックスファンド日経レバレッジ指,29325
2023/04,1360,011,日経平均ベア２倍上場投信,747.5
2023/04,1364,011,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,18970
2023/04,1365,011,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・イ,24395
2023/04,1366,011,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバー,797
2023/04,1367,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（,21360
2023/04,1368,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバ,1121
2023/04,1369,011,Ｏｎｅ　ＥＴＦ　日経２２５,29135
2023/04,1375,011,雪国まいたけ,1017
2023/04,1376,012,カネコ種苗,1597
2023/04,1377,011,サカタのタネ,3970
2023/04,1378,,雪国まいたけ,
2023/04,1379,011,ホクト,1867
2023/04,1380,012,秋川牧園,1050
2023/04,1381,012,アクシーズ,3045
2023/04,1382,012,ホーブ,1815
2023/04,1383,012,ベルグアース,3220
2023/04,1384,012,ホクリヨウ,793
2023/04,1397,011,ＳＭＤＡＭ　日経２２５上場投信,29000
2023/04,1398,011,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1916.5
2023/04,1399,011,上場インデックスファンドＭＳＣＩ日本株高,1720
2023/04,1400,014,ルーデン・ホールディングス,115
2023/04,1401,014,エムビーエス,495
2023/04,1405,,サーラ住宅,
2023/04,1407,012,ウエストホールディングス,3230
2023/04,1413,,ヒノキヤグループ,
2023/04,1414,011,ショーボンドホールディングス,5800
2023/04,1417,011,ミライト・ワン,1687
2023/04,1418,012,インターライフホールディングス,221
2023/04,1419,011,タマホーム,3715
2023/04,1420,012,サンヨーホームズ,711
2023/04,1429,011,日本アクア,879
2023/04,1430,011,ファーストコーポレーション,927
2023/04,1431,014,Ｌｉｂ　Ｗｏｒｋ,813
2023/04,1433,011,ベステラ,904
2023/04,1434,012,ＪＥＳＣＯホールディングス,494
2023/04,1435,011,Ｒｏｂｏｔ　Ｈｏｍｅ,225
2023/04,1436,014,フィット,816
2023/04,1438,012,岐阜造園,1120
2023/04,1439,012,安江工務店,1088
2023/04,1443,012,技研ホールディングス,222
2023/04,1444,014,ニッソウ,2267
2023/04,1446,012,キャンディル,568
2023/04,1447,014,ＩＴｂｏｏｋホールディングス,383
2023/04,1448,,スペースバリューホールディング,
2023/04,1450,012,田中建設工業,2600
2023/04,1451,012,ＫＨＣ,635
2023/04,1456,011,ｉＦｒｅｅＥＴＦ　日経平均インバース・イ,3830
2023/04,1457,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（,4460
