期間,株式コード,上場コード,銘柄名称,取引所
2023/04,1301,11,極洋,1
2023/04,1305,11,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算,1
2023/04,1306,11,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上,1
2023/04,1307,,ＩシェアーズＴＯＰＩＸ,
2023/04,1308,11,上場インデックスファンドＴＯＰＩＸ,1
2023/04,1309,11,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中,1
2023/04,1310,,ダイワ上場投信－トピックス・コア３０,
2023/04,1311,11,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒ,1
2023/04,1312,,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コ,
2023/04,1313,,サムスンＫＯＤＥＸ２００証券上場指数投資,
2023/04,1314,,上場インデックスファンドＳ＆Ｐ日本新興株,
2023/04,1315,,ＩシェアーズＳ＆Ｐ／ＴＯＰＩＸ１５０,
2023/04,1316,,上場インデックスファンドＴＯＰＩＸ１００,
2023/04,1317,,上場インデックスファンドＴＯＰＩＸ　Ｍｉ,
2023/04,1318,,上場インデックスファンドＴＯＰＩＸ　Ｓｍ,
2023/04,1319,12,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数,1
2023/04,1320,11,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算,1
2023/04,1321,11,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上,1
2023/04,1322,11,上場インデックスファンド中国Ａ株（パンダ,1
2023/04,1323,,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ,
2023/04,1324,11,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動,1
2023/04,1325,11,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・,1
2023/04,1326,13,ＳＰＤＲゴールド・シェア,1
2023/04,1327,,Ｓ＆Ｐ　ＧＳＣＩ商品指数エネルギー＆メタル・キャップド・コンポー,
2023/04,1328,11,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投,1
2023/04,1329,11,ｉシェアーズ・コア　日経２２５　ＥＴＦ,1
2023/04,1330,11,上場インデックスファンド２２５,1
2023/04,1331,,マルハニチロ食品,
2023/04,1332,11,ニッスイ,1
2023/04,1333,11,マルハニチロ,1
2023/04,1334,,マルハニチロホールディングス,
